super output areas - middle layer,mnemonic,all_ecact,m16,m18,m20,m25,m35,m55,m60,m65,f16,f18,f20,f25,f35,f55,f60,f65,f_total
Leeds 038,E02002367,2111,51,39,133,369,430,75,43,28,32,58,136,322,449,53,36,6,996
Leeds 039,E02002368,4037,26,49,136,536,1001,206,114,63,53,85,146,526,941,169,74,24,1944
Leeds 040,E02002369,2607,55,42,124,366,644,101,65,19,36,80,145,362,578,125,63,24,1271
Leeds 041,E02002370,2567,41,77,117,377,617,112,53,25,76,74,119,313,560,87,34,15,1187
Leeds 042,E02002371,2663,42,42,170,402,561,59,74,30,42,76,171,396,680,60,43,18,1371
Leeds 043,E02002372,2214,27,145,326,327,240,62,26,30,21,216,424,256,206,51,29,30,1101
Leeds 044,E02002373,3543,29,82,857,467,354,56,49,15,20,162,888,332,323,54,34,18,1722
Leeds 045,E02002374,3127,24,51,250,533,630,106,70,24,35,69,268,431,607,119,56,21,1492
Leeds 046,E02002375,2558,38,128,182,311,473,106,56,29,36,213,201,332,450,82,52,11,1302
Leeds 047,E02002376,1971,46,57,83,273,485,85,52,41,61,74,125,270,459,65,43,5,942
Leeds 048,E02002377,1719,32,41,164,434,344,49,42,7,27,49,143,212,264,36,24,10,658
Leeds 049,E02002378,2544,14,133,525,364,249,24,31,21,23,161,608,330,197,36,43,9,1278
Leeds 050,E02002379,1903,48,60,105,216,465,77,43,8,63,66,123,246,473,74,52,26,979
Leeds 051,E02002380,2829,44,55,156,367,730,133,64,41,57,59,132,348,677,122,49,25,1314
Leeds 052,E02002381,3037,32,54,143,472,706,107,68,21,23,67,157,525,637,99,62,15,1499
Leeds 053,E02002382,2182,38,59,170,404,453,78,34,22,29,46,190,373,388,62,33,10,1000
Leeds 054,E02002383,2673,5,106,720,402,205,19,28,21,8,139,742,277,160,41,27,4,1246
Leeds 055,E02002384,2678,34,135,251,433,458,91,64,22,22,147,276,341,439,87,34,14,1264
Leeds 056,E02002385,3773,35,84,674,697,474,57,59,28,29,131,617,560,417,68,29,26,1742
Leeds 057,E02002386,4331,56,91,191,466,1157,216,127,48,45,91,180,456,1095,181,68,36,2053
Leeds 058,E02002387,2486,43,58,122,407,572,109,64,26,22,66,148,407,505,101,50,26,1173
Leeds 059,E02002388,3283,47,57,176,485,830,107,96,33,54,86,195,445,710,94,66,11,1543
Leeds 060,E02002389,1905,38,33,96,223,489,94,65,21,53,48,96,233,454,114,58,10,928
Leeds 061,E02002390,2689,32,55,149,347,643,133,78,15,54,52,134,347,653,120,73,18,1322
Leeds 062,E02002391,4079,56,52,210,681,959,136,92,17,53,62,207,612,945,134,53,21,1953
Leeds 063,E02002392,2117,13,124,371,382,278,29,34,10,16,148,351,293,195,32,46,12,970
Leeds 064,E02002393,1992,12,47,120,380,426,66,49,26,6,71,150,358,339,67,55,14,938
Leeds 065,E02002394,2616,32,54,157,431,595,87,57,27,26,78,183,404,576,86,54,19,1256
Leeds 066,E02002395,2892,37,56,101,366,798,131,98,39,31,68,141,300,739,112,78,39,1359
Leeds 067,E02002396,4162,39,71,213,665,1033,153,91,23,52,73,204,610,904,152,40,22,1935
Leeds 068,E02002397,3453,56,72,191,448,868,155,101,24,55,82,159,412,821,132,77,19,1628
Leeds 069,E02002398,3779,63,74,158,430,989,166,143,50,62,95,151,429,900,179,89,26,1790
Leeds 070,E02002399,2376,36,62,142,283,594,72,71,27,18,55,108,315,609,85,67,17,1171
Leeds 071,E02002400,2876,36,82,210,470,656,99,74,16,66,84,223,378,579,85,56,22,1327
Leeds 072,E02002401,1744,30,44,83,214,431,58,68,24,36,75,106,221,448,77,51,7,882
Leeds 073,E02002402,3367,38,41,106,441,943,151,71,29,60,59,136,416,869,122,51,26,1616
Leeds 074,E02002403,3045,57,51,133,402,709,137,107,37,47,65,145,385,707,141,93,19,1496
Leeds 075,E02002404,2392,59,46,112,365,578,85,63,21,47,53,147,326,517,98,37,27,1138
Leeds 076,E02002405,3806,62,72,197,435,962,166,99,38,61,85,166,436,952,154,66,34,1838
Leeds 077,E02002406,4302,87,82,186,498,1161,208,116,35,58,91,128,470,1116,209,62,23,2023
Leeds 078,E02002407,2496,48,64,158,358,600,86,58,27,39,50,145,334,531,106,53,23,1163
Leeds 079,E02002408,3536,39,56,170,532,887,125,80,32,50,69,147,535,842,126,46,9,1691
Leeds 080,E02002409,2891,46,46,116,422,708,141,71,28,37,77,140,427,687,137,35,28,1408
Leeds 081,E02002410,2878,46,49,119,358,773,127,90,32,29,70,142,376,674,118,66,34,1367
Leeds 082,E02002411,2315,38,60,153,399,593,77,52,19,24,67,139,292,443,87,41,5,980
Leeds 083,E02002412,3160,45,65,137,434,806,146,103,12,46,53,169,438,730,134,57,26,1506
Leeds 084,E02002413,2750,39,104,234,529,535,98,72,14,30,124,234,394,458,93,36,17,1228
Leeds 085,E02002414,1976,39,44,101,290,477,91,63,19,40,64,126,293,406,78,47,18,938
Leeds 086,E02002415,1881,51,55,141,364,447,57,27,25,43,76,130,259,292,54,20,21,774
Leeds 087,E02002416,2969,51,42,140,312,720,191,102,44,62,56,124,320,681,174,81,39,1421
Leeds 088,E02002417,2889,48,54,117,389,722,163,75,28,54,67,149,369,678,143,44,16,1374
Leeds 089,E02002418,3767,41,89,158,521,914,149,77,19,49,83,173,513,916,156,67,27,1862
Leeds 090,E02002419,3043,68,69,160,397,714,128,101,22,56,90,163,400,717,123,70,38,1484
Leeds 091,E02002420,3622,58,67,196,440,939,150,108,42,79,63,211,381,850,124,62,35,1706
Leeds 092,E02002421,1874,42,36,115,251,462,57,65,17,39,56,133,246,463,78,23,10,908
Leeds 093,E02002422,3208,59,59,110,407,863,157,88,31,55,81,144,400,777,147,54,15,1517
Leeds 094,E02002423,2483,39,56,110,348,631,109,58,31,46,70,103,296,557,114,45,23,1151
Leeds 095,E02002424,3945,66,73,169,612,982,149,100,21,63,56,184,554,894,137,50,14,1835
Leeds 096,E02002425,4103,49,63,159,507,1041,225,127,28,50,81,157,480,998,179,87,33,1958
Leeds 097,E02002426,3823,35,62,167,536,944,189,115,42,46,63,139,566,883,158,67,16,1821
Leeds 098,E02002427,3354,45,45,143,433,836,179,106,20,36,64,146,383,841,127,77,9,1597
Leeds 099,E02002428,2840,33,52,154,409,691,125,67,41,44,59,159,387,645,97,58,31,1339
Leeds 100,E02002429,3959,44,78,170,601,957,170,97,35,54,67,149,579,877,149,62,19,1860
Leeds 101,E02002430,2550,77,66,144,359,573,102,68,20,54,65,156,325,591,97,42,31,1219
Leeds 102,E02002431,3967,49,52,183,738,901,108,69,12,41,65,212,688,828,92,68,13,1925
Leeds 103,E02002432,3252,51,43,150,506,799,137,66,23,46,49,142,459,756,117,49,14,1548
Leeds 104,E02002433,2832,36,61,168,473,638,103,84,23,34,62,147,415,587,69,60,22,1317
Leeds 105,E02002434,3110,34,33,133,536,735,120,44,33,58,72,151,481,643,109,24,32,1485
Leeds 106,E02002435,3615,49,69,165,510,912,161,97,30,41,81,172,474,865,135,54,11,1697
Leeds 107,E02002436,3228,59,49,126,461,830,146,85,40,57,82,147,426,774,148,59,20,1535
Leeds 108,E02002437,3424,43,80,131,365,1008,146,81,19,44,81,128,352,975,102,49,23,1623
Wakefield 001,E02002438,2609,81,86,124,336,718,96,45,4,73,79,127,329,607,92,24,7,1193
Wakefield 002,E02002439,3554,41,66,167,596,918,151,74,23,38,77,183,506,734,149,66,31,1619
Wakefield 003,E02002440,3056,68,79,107,433,821,120,59,20,55,68,140,374,755,105,53,9,1429
Wakefield 004,E02002441,2912,39,55,165,467,745,144,58,20,39,86,142,357,637,107,35,15,1289
Wakefield 005,E02002442,2914,68,79,130,395,804,112,36,4,48,54,133,343,744,98,38,10,1349
Wakefield 006,E02002443,3306,41,80,109,425,958,117,53,16,41,70,107,438,856,89,43,7,1566
Wakefield 007,E02002444,3004,55,55,95,414,806,131,57,32,45,60,141,395,724,121,22,25,1413
Wakefield 008,E02002445,3492,51,61,130,461,926,180,95,31,70,75,154,429,831,134,58,16,1647
Wakefield 009,E02002446,2990,36,53,113,418,847,126,55,25,19,52,112,342,761,91,37,13,1363
Wakefield 010,E02002447,2557,60,73,147,363,673,119,54,22,46,58,133,319,581,92,41,35,1142
Wakefield 011,E02002448,2946,50,66,170,383,791,98,58,28,41,97,137,341,699,103,35,13,1355
Wakefield 012,E02002449,3735,63,82,157,625,947,136,74,12,57,69,192,556,827,122,67,11,1745
Wakefield 013,E02002450,2959,55,64,127,436,811,96,54,25,49,72,147,407,700,91,48,13,1376
Wakefield 014,E02002451,3796,57,59,143,430,1066,189,116,29,64,64,137,398,1021,174,54,25,1801
Wakefield 015,E02002452,3018,36,43,155,487,773,108,66,18,40,62,139,415,669,99,59,18,1408
Wakefield 016,E02002453,3670,72,58,188,539,970,143,53,31,73,81,180,454,852,137,31,20,1683
Wakefield 017,E02002454,2412,44,40,194,391,640,81,66,24,29,77,237,274,411,68,29,26,1016
Wakefield 018,E02002455,2217,45,47,113,282,595,75,71,11,61,53,106,277,552,77,58,25,1076
Wakefield 019,E02002456,2931,29,58,178,471,831,133,57,22,43,60,157,363,606,109,60,37,1267
Wakefield 020,E02002457,3007,35,55,160,455,760,112,69,31,25,60,160,393,689,101,58,16,1395
Wakefield 021,E02002458,4525,52,69,206,686,1159,200,81,30,27,103,210,580,1089,132,62,29,2109
Wakefield 022,E02002459,4003,30,64,185,686,1019,143,88,22,36,69,145,595,907,144,79,16,1864
Wakefield 023,E02002460,3465,42,64,143,351,1033,174,67,28,55,72,139,302,956,169,36,24,1628
Wakefield 024,E02002461,3823,72,75,184,592,1002,142,62,21,34,98,167,485,857,139,33,15,1722
Wakefield 025,E02002462,3671,61,63,154,468,999,186,91,22,55,78,155,396,926,187,52,19,1715
Wakefield 026,E02002463,3119,67,83,185,441,771,116,60,27,65,64,177,429,700,102,56,30,1461
Wakefield 027,E02002464,3115,44,53,132,464,824,124,70,24,71,66,121,361,722,112,47,10,1445
Wakefield 028,E02002465,2642,38,42,136,299,758,159,78,37,38,48,116,233,651,122,53,26,1161
Wakefield 029,E02002466,4428,49,93,170,577,1166,223,143,34,56,83,187,541,1009,170,91,35,2060
Wakefield 030,E02002467,3378,40,87,223,531,776,120,66,29,47,104,274,424,669,112,70,20,1593
Wakefield 031,E02002468,3125,37,49,108,396,869,143,67,24,33,44,128,407,783,130,56,16,1494
Wakefield 032,E02002469,3035,52,76,138,398,805,136,67,24,53,90,97,365,722,126,50,20,1418
Wakefield 033,E02002470,3045,33,32,89,239,922,182,108,55,32,78,86,238,874,174,61,14,1444
Wakefield 034,E02002471,4714,71,75,194,492,1362,267,111,61,53,84,156,464,1222,201,81,25,2146
Wakefield 035,E02002472,2875,41,42,133,357,789,159,68,34,49,58,120,305,761,146,55,21,1348
Wakefield 036,E02002473,3342,52,45,126,453,963,162,93,12,31,53,127,402,849,148,52,17,1536
Wakefield 037,E02002474,2648,52,70,113,310,718,114,49,26,52,86,131,294,670,93,39,22,1266
Wakefield 038,E02002475,2575,22,65,87,217,792,160,66,19,37,76,77,233,728,134,36,26,1215
Wakefield 039,E02002476,1959,36,56,108,302,525,69,34,9,31,44,83,256,463,70,37,13,889
Wakefield 040,E02002477,2206,53,65,112,306,611,87,45,29,50,58,105,254,536,82,25,9,967
Wakefield 041,E02002478,2371,45,58,107,433,642,76,32,8,23,46,118,308,532,81,56,10,1052
Wakefield 042,E02002479,3054,80,81,169,390,822,133,51,15,50,69,131,324,760,106,65,14,1392
Wakefield 043,E02002480,2490,50,57,145,357,637,87,44,18,43,73,151,307,594,103,34,5,1174
Wakefield 044,E02002481,2144,47,39,100,295,581,104,34,7,41,70,113,279,503,72,31,29,1016
Wakefield 045,E02002482,2382,48,68,133,314,625,86,59,38,61,56,118,286,590,79,62,14,1112
Kingston upon Hull City of 001,E02002652,2977,49,84,181,551,691,80,36,13,60,65,248,464,597,56,52,5,1392
Kingston upon Hull City of 002,E02002653,2829,44,69,177,398,657,146,93,31,54,117,139,327,635,143,84,24,1332
Kingston upon Hull City of 003,E02002654,2076,51,46,117,271,559,83,76,24,49,69,112,210,488,83,59,36,945
Kingston upon Hull City of 004,E02002655,2693,52,72,157,387,666,90,76,20,31,83,143,322,576,118,60,24,1255
Kingston upon Hull City of 005,E02002656,2817,31,77,130,333,769,117,122,20,18,53,113,272,693,133,83,16,1282
Kingston upon Hull City of 006,E02002657,3731,66,76,196,410,1033,180,94,28,73,70,176,366,956,144,76,17,1741
Kingston upon Hull City of 007,E02002658,3750,57,77,163,491,998,138,65,29,68,94,190,432,882,113,41,24,1772
Kingston upon Hull City of 008,E02002659,3156,88,98,206,376,801,78,103,37,57,88,180,377,663,109,63,25,1448
Kingston upon Hull City of 009,E02002660,2618,70,67,147,266,707,125,55,29,51,81,130,261,632,120,52,36,1224
Kingston upon Hull City of 010,E02002661,2822,59,71,166,340,782,120,59,22,57,58,157,294,679,109,33,27,1279
Kingston upon Hull City of 011,E02002662,2686,55,59,128,333,736,127,85,39,29,74,87,257,655,118,74,13,1180
Kingston upon Hull City of 012,E02002663,2421,44,99,209,257,583,97,53,17,37,109,257,226,544,72,35,12,1139
Kingston upon Hull City of 013,E02002664,3954,55,70,164,454,1163,184,97,19,62,107,189,440,1003,137,70,25,1844
Kingston upon Hull City of 014,E02002665,3838,55,80,158,415,1100,172,76,25,49,92,152,366,1028,119,58,30,1813
Kingston upon Hull City of 015,E02002666,2480,32,65,303,442,441,69,71,12,23,89,339,308,379,72,48,11,1143
Kingston upon Hull City of 016,E02002667,3698,56,81,182,579,966,143,89,40,68,90,192,476,818,110,54,25,1658
Kingston upon Hull City of 017,E02002668,2385,69,63,142,312,638,96,94,31,34,64,110,257,522,81,53,14,1026
Kingston upon Hull City of 018,E02002669,3254,38,42,224,513,767,103,65,33,48,75,303,454,661,85,41,18,1548
Kingston upon Hull City of 019,E02002670,2830,49,39,143,426,725,105,71,17,46,58,155,358,620,101,69,9,1310
Kingston upon Hull City of 020,E02002671,3116,63,92,167,402,924,110,68,20,70,70,136,348,718,107,54,30,1363
Kingston upon Hull City of 021,E02002672,2232,37,71,113,297,586,79,48,24,51,78,119,240,501,67,56,29,1030
Kingston upon Hull City of 022,E02002673,3802,26,69,226,602,1021,121,97,27,57,69,194,496,818,120,58,10,1701
Kingston upon Hull City of 023,E02002674,3543,53,71,131,593,833,137,115,15,43,75,186,573,709,124,60,25,1677
Kingston upon Hull City of 024,E02002675,2254,36,51,175,355,524,100,56,32,38,88,140,248,441,56,61,11,984
Kingston upon Hull City of 025,E02002676,3504,27,68,201,568,880,112,79,30,43,66,236,479,739,143,55,24,1620
Kingston upon Hull City of 026,E02002677,3729,26,57,219,786,927,100,60,13,45,72,204,605,637,84,25,24,1593
Kingston upon Hull City of 027,E02002678,3521,75,57,188,518,938,102,75,14,68,64,181,446,791,93,48,14,1613
Kingston upon Hull City of 028,E02002679,3399,42,70,145,396,945,155,87,35,55,55,140,371,845,143,56,28,1582
Kingston upon Hull City of 029,E02002680,2092,25,49,172,312,532,85,82,29,34,73,168,198,324,74,39,27,862
Kingston upon Hull City of 030,E02002681,2442,46,69,127,357,641,106,55,37,34,71,139,298,562,53,50,16,1081
Kingston upon Hull City of 031,E02002682,3182,63,48,183,425,883,110,101,20,58,49,159,384,731,77,62,1,1417
Kingston upon Hull City of 032,E02002683,3195,50,52,152,420,821,131,113,24,49,66,146,391,723,113,73,32,1506
East Riding of Yorkshire 001,E02002684,3249,49,59,142,347,879,242,122,59,40,60,118,318,810,185,78,43,1451
East Riding of Yorkshire 002,E02002685,3027,45,49,111,299,779,212,121,56,46,66,123,243,758,162,60,33,1404
East Riding of Yorkshire 003,E02002686,2499,62,58,108,335,568,114,94,34,50,55,113,305,563,147,51,21,1191
East Riding of Yorkshire 004,E02002687,2269,56,66,109,227,589,161,68,36,43,77,82,223,541,137,67,49,1052
East Riding of Yorkshire 005,E02002688,2224,49,55,101,218,551,149,66,45,43,73,128,208,522,125,84,39,1077
East Riding of Yorkshire 006,E02002689,2520,21,47,72,270,722,138,87,69,23,76,66,239,639,117,61,20,1148
East Riding of Yorkshire 007,E02002690,5562,47,108,220,654,1521,297,186,66,62,108,202,577,1382,266,90,37,2564
East Riding of Yorkshire 008,E02002691,3433,41,63,112,356,1002,185,150,60,50,61,116,330,826,188,70,17,1537
East Riding of Yorkshire 009,E02002692,4437,66,60,137,493,1368,243,130,61,58,59,129,421,1111,197,63,42,1943
East Riding of Yorkshire 010,E02002693,2838,37,53,129,281,808,188,122,45,26,42,100,265,724,147,87,27,1274
East Riding of Yorkshire 011,E02002694,5079,67,104,182,627,1363,271,155,70,59,88,209,516,1234,202,102,34,2313
East Riding of Yorkshire 012,E02002695,3226,64,91,126,306,888,180,110,54,51,72,114,322,811,163,68,48,1496
East Riding of Yorkshire 013,E02002696,3070,46,35,90,269,968,180,109,52,43,56,99,267,826,155,54,28,1388
East Riding of Yorkshire 014,E02002697,3515,46,61,126,329,1010,222,148,56,58,56,113,287,923,211,71,33,1615
East Riding of Yorkshire 015,E02002698,3173,30,61,132,390,923,147,84,54,34,81,138,332,773,127,59,25,1426
East Riding of Yorkshire 016,E02002699,4707,51,66,168,579,1322,216,149,54,54,70,165,526,1201,208,95,38,2210
East Riding of Yorkshire 017,E02002700,2481,45,60,109,338,620,142,86,31,33,68,87,289,589,118,63,17,1135
East Riding of Yorkshire 018,E02002701,4003,48,52,144,342,1268,238,137,69,40,58,141,338,1093,188,80,33,1817
East Riding of Yorkshire 019,E02002702,4371,41,51,189,660,1119,171,114,51,38,77,185,596,1009,161,75,9,2051
East Riding of Yorkshire 020,E02002703,4599,67,115,128,506,1387,199,106,51,62,105,155,506,1163,136,51,17,2086
East Riding of Yorkshire 021,E02002704,3620,47,54,158,284,1076,216,134,70,43,80,147,253,948,149,81,18,1633
East Riding of Yorkshire 022,E02002705,3256,38,139,120,289,850,182,146,46,29,177,122,247,781,174,93,31,1527
East Riding of Yorkshire 023,E02002706,3305,32,72,141,315,892,181,130,50,42,98,145,306,837,157,98,47,1593
East Riding of Yorkshire 024,E02002707,3496,40,64,137,385,1082,212,91,46,34,37,65,303,933,152,48,32,1507
East Riding of Yorkshire 025,E02002708,2404,30,61,108,230,633,134,95,64,35,50,91,235,602,139,91,37,1148
