Zone Code,Zone Name,ks0150002,"Underground, metro, light rail, tram ",Train ,"Bus, minibus or coach ","Motorcycle, scooter or moped ",Driving a car or van ,Passenger in a car or van ,Taxi or minicab ,Bicycle ,On foot ,Other,ks0150013
E02005801,Scarborough 007,185,8,15,156,60,904,211,52,88,443,28,22.39
E02005802,Scarborough 008,278,21,51,186,47,1381,335,65,130,1353,30,32.24
E02005803,Scarborough 009,329,12,34,187,83,1718,344,42,147,827,20,24.59
E02005804,Scarborough 010,346,8,38,162,41,1094,200,52,80,1030,28,27.1
E02005805,Scarborough 011,279,14,25,280,75,1915,300,47,121,285,33,28
E02005806,Scarborough 012,215,21,41,297,65,1354,272,49,100,404,33,16.81
E02005807,Scarborough 013,390,6,28,132,68,1843,216,36,71,180,25,30.38
E02005808,Scarborough 014,564,16,80,116,49,2343,323,25,113,674,56,17.56
E02005809,Selby 001,312,9,30,211,44,2217,282,30,149,558,20,19.23
E02005810,Selby 002,692,24,116,128,69,2805,200,33,59,154,18,37.82
E02005811,Selby 003,567,14,61,292,82,2919,284,25,127,235,20,31.97
E02005812,Selby 004,397,10,151,130,55,2623,284,33,94,374,21,27.52
E02005813,Selby 005,232,10,101,230,47,1825,301,40,367,756,20,24.24
E02005814,Selby 006,245,12,89,144,42,1750,213,26,258,336,25,25.54
E02005815,Selby 007,378,7,125,188,89,2633,274,15,208,265,38,25.99
E02005816,Selby 008,492,11,61,157,67,2619,249,35,101,220,41,40.46
E02005817,Selby 009,377,13,79,118,58,2406,205,20,61,150,18,28.69
E02005818,Selby 010,493,12,45,91,71,2402,185,35,102,188,34,32.64
