Zone Code,Zone Name,ks0150002,"Underground, metro, light rail, tram ",Train ,"Bus, minibus or coach ","Motorcycle, scooter or moped ",Driving a car or van ,Passenger in a car or van ,Taxi or minicab ,Bicycle ,On foot ,Other,ks0150013
E02001636,Sheffield 026,205,319,27,439,51,1071,169,13,54,566,32,9.58
E02001637,Sheffield 027,105,46,6,356,42,631,132,37,32,246,18,10.25
E02001638,Sheffield 028,172,47,37,347,26,1032,137,14,49,712,20,18.35
E02001639,Sheffield 029,159,38,45,446,26,1417,163,23,59,633,12,27.28
E02001640,Sheffield 030,179,86,44,359,33,1066,145,36,51,809,25,36.14
E02001641,Sheffield 031,135,109,37,240,25,503,93,22,52,608,30,20.92
E02001642,Sheffield 032,263,23,20,886,37,2184,313,47,34,365,12,17.41
E02001643,Sheffield 033,240,32,29,377,27,1808,188,12,50,277,20,12.13
E02001644,Sheffield 034,105,139,36,580,17,740,179,18,20,284,19,11.88
E02001645,Sheffield 035,177,137,56,544,39,904,157,34,45,483,26,13.97
E02001646,Sheffield 036,252,84,57,403,33,1154,158,14,87,978,31,33.47
E02001647,Sheffield 037,196,24,16,512,55,1506,216,12,36,184,15,12.93
E02001648,Sheffield 038,306,42,50,399,36,1753,193,27,92,391,19,31.55
E02001649,Sheffield 039,130,74,26,783,49,998,219,31,48,293,32,25.36
E02001650,Sheffield 040,136,41,52,418,31,730,116,46,76,609,28,16.98
E02001651,Sheffield 041,369,19,40,492,28,2290,198,35,53,151,16,29.41
E02001652,Sheffield 042,164,58,48,509,22,871,143,43,59,676,24,14.01
E02001653,Sheffield 043,111,141,23,503,28,712,157,21,22,262,21,13.07
E02001654,Sheffield 044,179,34,38,631,46,1796,300,16,19,162,24,16.61
E02001655,Sheffield 045,146,35,12,732,40,1735,271,33,29,183,18,26.92
E02001656,Sheffield 046,261,51,80,600,46,1812,229,31,79,636,18,24.27
E02001657,Sheffield 047,400,45,59,805,52,2669,258,28,95,544,19,14.87
E02001658,Sheffield 048,96,144,25,535,17,728,169,33,11,200,21,27.46
E02001659,Sheffield 049,137,23,17,531,40,1339,208,21,24,200,13,26.27
E02001660,Sheffield 050,381,19,84,784,33,2012,234,44,144,627,37,11.92
E02001661,Sheffield 051,167,43,24,795,42,1364,218,31,69,375,9,12.7
E02001662,Sheffield 052,212,191,24,685,61,1745,284,8,37,178,32,10.78
E02001663,Sheffield 053,256,22,46,834,41,1798,229,23,128,432,22,15.77
E02001664,Sheffield 054,185,280,21,408,36,1559,188,14,12,149,26,11.34
E02001665,Sheffield 055,450,38,55,523,48,2936,240,40,78,223,11,29.16
E02001666,Sheffield 056,178,100,16,378,37,1517,241,18,18,248,31,24.72
E02001667,Sheffield 057,181,108,31,697,59,1808,300,22,27,155,26,11.02
E02001668,Sheffield 058,121,116,13,580,33,999,210,28,15,189,13,17.44
E02001669,Sheffield 059,267,38,28,868,45,2079,251,35,63,392,19,29.57
E02001670,Sheffield 060,131,127,22,615,28,967,177,21,14,150,25,10.63
E02001671,Sheffield 061,226,312,30,289,32,1857,242,21,18,143,30,20.45
E02001672,Sheffield 062,163,362,20,284,30,1446,181,21,27,139,24,15.78
E02001673,Sheffield 063,283,183,26,258,37,2185,275,21,18,205,29,27.47
E02001674,Sheffield 064,347,33,17,723,50,2582,241,27,56,271,15,24.42
E02001675,Sheffield 065,270,309,20,613,47,2320,327,25,41,401,35,13.24
E02001676,Sheffield 066,266,28,35,462,46,1821,207,25,51,142,14,28.18
E02001677,Sheffield 067,365,188,41,419,52,2905,308,24,24,201,21,28.99
E02001678,Sheffield 068,575,29,60,409,60,2726,211,21,58,164,14,26.38
E02001679,Sheffield 069,184,15,16,616,49,1219,176,17,40,170,25,19.01
E02001680,Sheffield 070,120,15,24,620,52,902,173,33,35,214,18,19.13
E02001681,Sheffield 071,345,17,30,538,59,2167,203,32,41,157,20,22.01
E02002183,Bradford 001,338,22,218,98,33,1504,126,12,26,162,19,23.96
E02002184,Bradford 002,660,31,594,103,40,3017,230,38,54,673,41,35.29
E02002185,Bradford 003,257,20,311,109,33,1812,133,20,38,195,8,24.4
E02002186,Bradford 004,585,24,312,349,60,3797,442,37,48,675,38,19.57
E02002187,Bradford 005,293,26,322,99,37,1748,138,24,32,130,16,25.05
E02002188,Bradford 006,301,14,138,276,39,1848,199,20,48,194,16,15.34
